status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
tenui;22,297063;36,80372;17,05833244;24,45000076;10,48333359;641;121;4;79,83530426;329;17;17;301;8,216666222;35,11396027;584,9779663;29,79999924;6,400000095;23,39999962;11,91666603;24,45000076
tenui;27,177749;36,811433;19,20416641;27,16666603;12,03333282;715;158;1;94,94733429;426;10;10;426;8,225000381;33,29959869;628,7088623;33,09999847;8,399999619;24,69999886;12,03333282;27,16666603
tenui;21,931369;36,821148;17,28333282;24,79999924;10,51666641;696;130;3;79,72819519;356;15;15;324;8,399999619;34,85477066;595,9001465;30,5;6,400000095;24,10000038;11,91666698;24,79999924
tenui;21,726449;36,837501;16,94166565;24,41666603;10,0666666;698;133;1;81,39147949;362;11;11;331;8,300000191;34,2975235;596,4814453;30;5,800000191;24,20000076;11,48333359;24,41666603
tenui;22,497597;36,841122;16,45833397;24,28333282;9,566666603;643;116;6;76,07500458;321;23;23;296;8,733333588;35,07362747;613,7620239;30,39999962;5,5;24,89999962;10,98333359;24,28333282
tenui;27,253184;36,893455;19,20000076;27,06666565;12,14999962;714;157;1;95,49007416;428;11;11;428;8,199999809;33,46938705;620,4837036;33;8,5;24,5;12,14999962;27,06666565
tenui;21,747453;36,948625;16,42916679;23,89999962;9,583333015;740;138;3;78,96286011;377;16;16;344;8,841666222;35,94173431;596,0150146;29,79999924;5,199999809;24,59999847;10,96666622;23,89999962
tenui;22,14583;36,970212;17,07916641;24,43333435;10,61666679;690;129;5;78,70507813;351;21;21;318;8,791666985;36,78521347;579,727478;30,10000038;6,199999809;23,90000153;11,96666622;24,43333435
tenui;25,254364;37,033856;18,33749962;24,68333244;12,55000019;406;71;1;83,23858643;205;7;7;190;4,858333111;27,14152718;506,9432678;27,89999962;10;17,89999962;12,61666679;24,68333244
tenui;31,235031;51,519614;6,954166889;18,10000038;-4,383333206;597;83;33;32,22607422;225;108;225;123;8,425000191;26,08359146;922,6135254;24,10000038;-8,199999809;32,29999924;18,10000038;1,183333397
tenui;79,952676;6,601634;27,07916641;27,86666679;26,39999962;2933;425;100;46,00674438;1031;362;882;674;5,908333302;66,38577271;57,97563934;31,39999962;22,5;8,899999619;26,73333359;26,93333244
trans;37,684578;44,662272;12,38749981;21,70000076;3,783333302;722;114;42;34,69382858;274;137;142;258;7,291666508;26,32370758;734,3058472;26,79999924;-0,899999976;27,69999886;5,300000191;21,28333282
trans;37,919785;44,674017;12,23750019;21,45000076;3,816666603;783;124;47;34,56525803;296;149;159;280;7,158333302;26,31740189;723,7469482;26,39999962;-0,800000012;27,19999886;5,233333111;21,03333282
trans;37,962617;44,583575;12,65000057;21,75;4,533333302;795;127;47;35,78967667;305;150;157;289;7,150000095;26,48148155;710,1216431;26,70000076;-0,300000012;27;5,883333206;21,41666794
trans;38,051115;45,388941;10,97083378;21,76666641;0,299999923;601;67;40;16,40932655;180;127;157;166;9,508333206;29,16666603;876,8110352;28,29999924;-4,300000191;32,59999847;2,099999905;5,083333492
trans;38,130017;44,504721;13,10416698;22,03333282;5,150000095;841;130;51;34,11549377;319;164;169;300;6,875;25,84586525;697,2362671;26,79999924;0,200000003;26,59999847;6,449999809;19,45000076
trans;38,14864;44,732636;11,90000057;21,14999962;3,25;815;119;51;29,88783264;296;158;171;277;7,5;27,27272797;732,1854248;26,20000076;-1,299999952;27,5;4,633333206;20,66666794
