status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E;20,137425;40,073722;13,89583302;22,54999924;5,900000095;1649;277;23;65,64093018;766;92;92;707;11,60833359;36,96921539;691,7121582;30,60000038;-0,800000012;31,39999962;7,016666412;22,54999924
E;20,161736;39,22575;16,9375;24,20000076;10,44999981;911;160;6;69,87997437;420;35;35;377;8,725000381;35,90534973;576,4118042;30,39999962;6,099999905;24,29999924;14,5666666;24,20000076
E;20,239017;39,406525;16,63750076;24,31666565;9,716667175;954;164;6;69,23471832;439;37;37;400;9,941666603;37,65782547;607,7796021;31,10000038;4,699999809;26,40000153;10,96666622;24,31666565
E;20,289112;39,53683;15,76666641;23,93333435;8,350000381;1074;179;9;66,84771729;489;48;48;449;10,89999962;38,2456131;644,7597656;31,5;3;28,5;9,550000191;23,93333435
E;20,381943;40,219772;14,09999943;22,85000038;5,75;1454;237;25;61,47416687;656;95;95;603;11,44999981;36,23417664;707,0039063;30,89999962;-0,699999988;31,60000038;6,900000095;22,85000038
E;20,406056;44,839342;12,01249981;21,39999962;2,200000048;660;92;37;26,48642349;226;121;216;128;9,658332825;32,19444275;780,1780396;27,89999962;-2,099999905;30;19,89999962;3,799999952
E;20,412205;39,287692;16,32500076;24,01666641;9,350000381;960;163;8;66,9901123;433;41;41;393;9,916666985;37,56313324;609,2823486;31;4,599999905;26,39999962;10,60000038;24,01666641
E;20,490727;39,2122;16,59583282;24,23333359;9,5;916;160;8;68,32307434;421;40;40;379;10,27499962;38,33955383;610,9287109;31,39999962;4,599999905;26,79999924;10,78333282;24,23333359
E;20,546387;38,331612;15,88333321;22,95000076;9,5;898;161;8;72,01636505;424;34;34;379;8,166666985;35,05007172;565,0636597;29,10000038;5,800000191;23,29999924;10,94999981;22,95000076
E;20,554593;38,098587;17,44583321;24,33333397;11,38333321;845;155;5;77,01968384;416;24;52;300;7,791666508;34,94020844;544,8621826;30,10000038;7,800000191;22,29999924;12,8166666;24,23333359
E;20,560745;38,66151;16,02916718;23,23333359;9,550000191;905;160;9;69,40811157;416;38;38;374;8,941666603;36,64617538;574,1929321;29,79999924;5,400000095;24,39999962;10,91666698;23,23333359
E;20,602161;38,779396;16,27499962;23,63333321;9,5;888;160;9;69,85352325;412;38;38;367;9,233333588;36,78619003;588,4938354;30,29999924;5,199999809;25,09999847;10,89999962;23,63333321
E;20,608586;39,322805;15,75833321;23,73333359;8,25;969;160;12;63,22272491;429;52;52;390;10,78333378;38,64994049;638,1893311;31,20000076;3,299999952;27,90000153;9,5;23,73333359
E;20,636546;39,097871;16,52499962;24,21666718;9,383333206;896;156;9;67,70604706;410;42;42;370;10,21666622;37,9801712;615,2623291;31,5;4,599999905;26,89999962;10,71666622;24,21666718
E;20,646963;38,445555;16,72083282;23,66666794;10,5;879;161;8;72,36159515;415;33;63;368;8,074999809;35,26200485;553,4908447;29,70000076;6,800000191;22,90000153;11,91666603;23,60000038
E;20,707018;38,829444;16,85833359;24,46666718;9,883333206;875;157;9;69,56570435;405;38;38;362;9,716666222;37,08651352;605,6732788;31,60000038;5,400000095;26,20000076;11,21666622;24,46666718
E;20,72114;38,346201;16,35833359;23,35000038;10,19999981;887;160;8;72,68976593;422;33;63;311;8;34,93449783;555,4721069;29,39999962;6,5;22,89999962;11,58333397;23,29999924
E;20,75077;40,044237;12,16666698;20,51666641;4,433333397;1021;145;35;44,96779633;398;110;110;356;10,23333359;35,90643311;666,5219727;27,89999962;-0,600000024;28,5;8,899999619;20,51666641
E;20,753494;38,078333;17,0625;24,13333321;10,80000019;904;161;7;75,88870239;443;27;57;391;8,324999809;35,42553329;560,3494263;30,39999962;6,900000095;23,5;12,19999981;24,04999924
E;20,786494;38,669503;17,00416756;24,08333397;10,66666698;862;156;9;70,56978607;402;37;66;359;8,758333206;36,64574432;565,5707397;30,60000038;6,699999809;23,90000153;12,05000019;24,04999924
E;20,853133;37,713695;17,30833244;24,23333359;11,13333321;931;186;6;82,60068512;486;22;52;336;7,550000191;33,7053566;550,5032349;29,79999924;7,400000095;22,39999962;12,5666666;24,13333321
E;20,853747;39,665029;13,4958334;22,03333282;5,483333111;991;150;30;49,67746735;404;97;97;360;11,24166679;38,10734558;678,7269287;30,39999962;0,899999976;29,5;6,650000095;22,03333282
E;20,861401;37,819961;17,29583359;24,28333282;11,05000019;922;185;6;82,88650513;484;22;50;434;8,125;35,17316055;555,642395;30,20000076;7,099999905;23,10000038;12,46666622;24,20000076
E;20,882745;38,768554;16,47500038;24,04999924;9,433333397;868;155;10;68,55846405;399;40;40;357;9,966667175;37,75252533;607,5491333;31,20000076;4,800000191;26,40000153;10,85000038;24,04999924
E;20,929613;38,624503;16,72500038;23,86666679;10,26666641;866;159;10;70,61476898;403;37;65;356;9,133333206;37,43169403;572,385376;30,5;6,099999905;24,39999962;11,64999962;23,85000038
E;21,046171;39,14069;16,13750076;24,46666718;8,316666603;882;146;14;62,07699203;385;53;53;349;11,5583334;39,04842377;664,9371948;32,79999924;3,200000048;29,59999847;9,649999619;24,46666718
E;21,110339;37,880725;16,89583397;23,95000076;10,44999981;824;157;6;80,79030609;427;21;46;377;8,691666603;36,21527863;565,4019775;30,10000038;6,099999905;24;11,86666679;23,89999962
E;21,225147;45,748485;10,86666679;20,64999962;0,649999976;597;82;33;28,46932602;211;103;198;115;10,53333282;33,01985168;812,024231;28;-3,900000095;31,89999962;19,10000038;2,299999952
E;21,273883;37,939728;16,75833321;23,93333435;10,03333282;772;143;5;78,75073242;392;19;44;340;9,949999809;38,8671875;581,1776123;30,70000076;5,099999905;25,60000038;11,39999962;23,90000153
E;21,305086;37,75357;16,74583244;23,86666679;10,0666666;780;146;5;80,31732178;403;19;42;355;9,641666412;38,10935593;576,3539429;30,5;5,199999809;25,29999924;11,46666622;23,85000038
E;21,487429;37,602535;16,80416679;24,03333282;10,08333302;756;140;5;79,028862;387;20;20;341;9,824999809;38,68110275;582,8123779;30,60000038;5,199999809;25,40000153;11,44999981;24,03333282
E;21,48862;41,970905;12,5;22,75;1,799999952;497;53;32;18,57594681;146;103;117;114;11,91666698;34,34197998;847,531189;31;-3,700000048;34,70000076;7,183333397;21,89999962
E;21,578938;37,122452;16,96666718;23,96666718;10,53333282;734;141;3;81,47167206;383;15;40;345;8,199999809;35,34482574;564,2063599;29,39999962;6,199999809;23,20000076;11,91666603;23,95000076
E;21,591224;37,542269;16,74583244;23,88333321;10,13333321;747;138;5;78,56443787;381;20;20;336;9,641666412;38,7215538;575,0393677;30,20000076;5,300000191;24,90000153;11,48333359;23,88333321
E;21,622825;37,658805;16,39166641;24,04999924;9,399999619;756;135;6;75,63943481;376;23;23;331;10,33333302;38,70162201;607,8270874;31,20000076;4,5;26,70000076;10,75;24,04999924
E;21,629104;39,721036;14,10416698;23,36666679;5,150000095;701;94;23;43,14514923;265;78;78;239;10,84166622;34,63791275;744,5971069;31,39999962;0,100000001;31,29999924;10,46666622;23,36666679
E;21,725849;38,190604;16,30416679;24,35000038;8,966667175;691;129;8;71,83100891;329;27;27;286;10,85833359;38,77976227;637,3077393;31,89999962;3,900000095;28;10,36666679;24,35000038
