Species;Alien;D;Native
H. transcaucasica sensu stricto;347;0,500496918;173
H. tenuidentata sensu stricto;347;0,11877147;180
H. tenuidentata sensu Battiston et al. (2018);347;0,476312223;353
H. patellifera (no dubious points);89;0,179557543;835
H. patellifera (all);89;0,179371862;852
T. angustipennis (full dataset);292;0,01010701;161
T. angustipennis (trimmed);262;0,00880003;161
T. sinensis (full dataset);3315;0,0218616;462
T. sinensis (trimmed);3065;0,02000612;462
